"Designator","Device","Footprint","Mid X","Mid Y","Ref X","Ref Y","Pad X","Pad Y","Pins","Layer","Rotation","SMD","Comment","Name"
"R47","Res_0402","R0402","43.18mm","-6.807mm","43.18mm","-6.807mm","43.18mm","-7.24mm","2","B","90","Yes","10K","10K"
"R48","Res_0402","R0402","42.164mm","-6.807mm","42.164mm","-6.807mm","42.164mm","-7.24mm","2","B","90","Yes","10K","10K"
"RN1","YC164-JR-0722RL","RES-ARRAY-SMD_0603-8P-L3.2-W1.6-BL","39.37mm","-2.591mm","39.37mm","-2.591mm","38.47mm","-1.391mm","8","T","270","Yes","22Ω","22Ω"
"SW1","SKRPACE010","KEY-SMD_4P-L4.2-W3.2-P2.20-LS4.6","-11.887mm","-5.182mm","-11.887mm","-5.182mm","-13.987mm","-4.107mm","4","T","0","Yes","SKRPACE010","SKRPACE010"
"SW2","SKRPACE010","KEY-SMD_4P-L4.2-W3.2-P2.20-LS4.6","-11.836mm","0mm","-11.836mm","0mm","-13.936mm","1.075mm","4","T","0","Yes","SKRPACE010","SKRPACE010"
"U9","CH32X035C8T6_1","LQFP-48_L7.0-W7.0-P0.50-LS9.0-BL","0.018mm","0.018mm","0.018mm","0.018mm","-4.932mm","-1.043mm","48","T","315","Yes","CH32X035C8T6","CH32X035C8T6"
"U19","LGS5148","SOT-23-6_L2.9-W1.6-P0.95-LS2.8-BL","35.688mm","1.278mm","35.688mm","1.278mm","34.738mm","2.427mm","6","B","0","Yes","LGS5148","LGS5148"
"U20","INA226AIDGSR","MSOP-10_L3.0-W3.0-P0.50-LS5.0-BL","41.453mm","-2.489mm","41.453mm","-2.489mm","42.453mm","-4.599mm","10","B","180","Yes","INA226AIDGSR","INA226AIDGSR"
"USB1","TYPEC-304-BCP16","USB-C-SMD_TYPEC-304-BCP16","49.835mm","0mm","49.835mm","0mm","48.202mm","-4.32mm","16","T","90","No","TYPEC-304-BCP16","TYPEC-304-BCP16"
"C92","CAP_0402","C0402","34.036mm","-1.118mm","34.036mm","-1.118mm","33.491mm","-1.118mm","2","B","0","Yes","100nF","100nF"
